job_link,job_title,comp_name,location,expire_date,update_date,staff_type,salary,job_level,sal_min,sal_max,currency,exp_min,exp_max,exp_measurement,location_Hà Nội,location_Hồ Chí Minh,location_Tây Ninh,location_Bắc Ninh,location_Hưng Yên,location_Bình Dương,location_Hậu Giang,location_Đà Nẵng,location_Bà Rịa - Vũng Tàu,location_Hải Phòng,location_Quốc tế,location_Hải Dương,location_Bình Phước,industry_CNTT - Phần mềm,industry_CNTT - Phần cứng / Mạng,industry_Ngân hàng,industry_Quản lý chất lượng (QA/QC),industry_Kế toán / Kiểm toán,industry_Dệt may / Da giày / Thời trang,industry_Ngành khác,industry_Thống kê,industry_Bán hàng / Kinh doanh,industry_Quản lý điều hành,industry_Tài chính / Đầu tư,industry_Nhân sự,industry_Nội ngoại thất,industry_Hành chính / Thư ký,industry_Cơ khí / Ô tô / Tự động hóa,industry_Vận chuyển / Giao nhận /Kho vận,industry_Xuất nhập khẩu,industry_Sản xuất / Vận hành sản xuất,industry_Luật / Pháp lý,industry_Dịch vụ khách hàng,industry_Tiếp thị / Marketing,industry_Bán lẻ / Bán sỉ,industry_Tiếp thị trực tuyến,industry_Mới tốt nghiệp / Thực tập,industry_Bất động sản,industry_Bảo trì / Sửa chữa,industry_Tư vấn,industry_Chứng khoán,industry_Điện / Điện tử / Điện lạnh,industry_Bảo hiểm,industry_Mỹ thuật / Nghệ thuật / Thiết kế,industry_Quảng cáo / Đối ngoại / Truyền Thông,industry_In ấn / Xuất bản,industry_Giáo dục / Đào tạo,industry_Y tế / Chăm sóc sức khỏe,industry_Biên phiên dịch,industry_Nông nghiệp,industry_Thu mua / Vật tư,industry_Dược phẩm,industry_Bưu chính viễn thông,industry_Thực phẩm & Đồ uống,job_id
https://careerbuilder.vn/vi/tim-viec-lam/ky-su-du-lieu-data-engineer-ban-du-an.35BDED2A.html,kỹ sư dữ liệu (data engineer) - ban dự án,Ngân Hàng TMCP Quân Đội,Hà Nội,2023-12-03,2023-11-03,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,3.0,10.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDED2A
https://careerbuilder.vn/vi/tim-viec-lam/ky-su-du-lieu-data-engineer-ban-du-an.35BDC9EB.html,kỹ sư dữ liệu (data engineer) - ban dự án,Ngân Hàng TMCP Quân Đội,Hà Nội,2023-12-12,2023-11-13,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,3.0,10.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDC9EB
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-gia-phan-tich-du-lieu-kenh-kinh-doanh-so.35BEEA4A.html,chuyên gia phân tích dữ liệu kênh kinh doanh số,Công Ty Tài Chính TNHH MB SHINSEI (MCREDIT),Hà Nội,2023-12-31,2023-11-27,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,5.0,7.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEEA4A
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-du-lieu-khoi-qtrr.35BED99A.html,chuyên viên phân tích dữ liệu (khối qtrr),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,,2023-11-20,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,3.0,,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BED99A
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-du-lieu-kinh-doanh-data-analyst.35BF0ECA.html,chuyên viên phân tích dữ liệu kinh doanh - data analyst,Tổng Công ty Cổ phần Công trình Viettel,Hà Nội,2023-12-24,2023-11-25,Nhân viên chính thức,20 Tr - 22 Tr VND,Trưởng nhóm / Giám sát,20.0,22.0,VND,2.0,3.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BF0ECA
https://careerbuilder.vn/vi/tim-viec-lam/cong-tac-vien-quan-ly-du-lieu-ban-van-hoa.35BEE09A.html,cộng tác viên quản lý dữ liệu - ban văn hóa,CÔNG TY CỔ PHẦN KINH DOANH F88,Hà Nội,2023-11-30,2023-11-15,Thực tập,5 Tr - 7 Tr VND,Sinh viên/ Thực tập sinh,5.0,7.0,VND,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEE09A
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-du-lieu-du-an-core-banking.35BDE1AC.html,chuyên viên cao cấp dữ liệu - dự án core banking,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,2023-12-25,2023-11-26,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,2.0,,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDE1AC
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-du-lieu-du-an-core-banking.35BE58A4.html,chuyên viên cao cấp dữ liệu - dự án core banking,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,2023-12-26,2023-11-27,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,2.0,,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE58A4
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-du-lieu-du-an-core-banking.35BF0F88.html,chuyên viên cao cấp dữ liệu - dự án core banking,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,2023-12-26,2023-11-27,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,2.0,,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BF0F88
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kiem-soat-du-lieu-kho-warehouse-inventory-controller.35BEE6C3.html,nhân viên kiểm soát dữ liệu kho - warehouse inventory controller,AkzoNobel Vietnam,Bắc Ninh,2023-12-03,2023-11-24,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,2.0,,năm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEE6C3
