job_link,job_title,comp_name,location,expire_date,update_date,staff_type,salary,job_level,sal_min,sal_max,currency,exp_min,exp_max,exp_measurement,location_Hà Nội,location_Hồ Chí Minh,location_Đồng Nai,location_Bình Dương,location_Hải Dương,location_Đà Nẵng,industry_CNTT - Phần mềm,industry_Kế toán / Kiểm toán,industry_Tài chính / Đầu tư,industry_Ngân hàng,industry_Dịch vụ khách hàng,industry_Thống kê,industry_Ngành khác,industry_Bán hàng / Kinh doanh,industry_Nhân sự,industry_Sản xuất / Vận hành sản xuất,industry_CNTT - Phần cứng / Mạng,industry_Bưu chính viễn thông,industry_Tiếp thị / Marketing,industry_Hành chính / Thư ký,industry_Tiếp thị trực tuyến,industry_Bất động sản,industry_Quản lý điều hành,industry_Bảo hiểm,industry_Biên phiên dịch,industry_Dược phẩm,industry_Chứng khoán,industry_Vận chuyển / Giao nhận /Kho vận,industry_Thu mua / Vật tư,industry_Thực phẩm & Đồ uống,industry_Mới tốt nghiệp / Thực tập,industry_Tư vấn,industry_Bán lẻ / Bán sỉ,industry_Dệt may / Da giày / Thời trang,industry_Hàng gia dụng / Chăm sóc cá nhân,industry_Luật / Pháp lý,industry_Cơ khí / Ô tô / Tự động hóa,industry_Quản lý chất lượng (QA/QC),industry_Quảng cáo / Đối ngoại / Truyền Thông,industry_Giải trí,industry_Y tế / Chăm sóc sức khỏe,job_id
https://careerbuilder.vn/vi/tim-viec-lam/data-report-team-leader.35BEDBE7.html,data report team leader,Vietnam Concentrix Services Company Limited,Hồ Chí Minh,2023-11-30,2023-11-13,Nhân viên chính thức,19 Tr - 23 Tr VND,Trưởng nhóm / Giám sát,19.0,23.0,VND,1.0,3.0,năm,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEDBE7
https://careerbuilder.vn/vi/tim-viec-lam/workforce-management-supervisor.35BED5F0.html,workforce management supervisor,Vietnam Concentrix Services Company Limited,Hồ Chí Minh,2023-11-27,2023-11-17,Nhân viên chính thức,20 Tr - 31 Tr VND,Trưởng nhóm / Giám sát,20.0,31.0,VND,1.0,,năm,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BED5F0
https://careerbuilder.vn/vi/tim-viec-lam/program-analyst-senior-executive-database-developer.35BEDB71.html,program analyst senior executive (database developer),Hanwha Life Insurance Company Limited (Vietnam),Hồ Chí Minh,2023-12-03,2023-11-13,Nhân viên chính thức,1.000 - 1.500 USD,Nhân viên,1.0,1.5,USD,3.0,5.0,năm,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEDB71
https://careerbuilder.vn/vi/tim-viec-lam/ict-system-database-administrator.35BEFBAB.html,ict system & database administrator,Indo Trans Logistics,Hồ Chí Minh,2023-12-15,2023-11-15,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,2.0,,năm,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEFBAB
https://careerbuilder.vn/vi/tim-viec-lam/truong-nhom-quan-tri-co-so-du-lieu-dba.35BDA14F.html,trưởng nhóm quản trị cơ sở dữ liệu (dba),"HD Saison Finance Co., Ltd",Hồ Chí Minh,2023-11-19,2023-10-21,Nhân viên chính thức,Cạnh tranh,Trưởng nhóm / Giám sát,,,,3.0,5.0,năm,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDA14F
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-nghien-cuu-va-phat-trien-san-pham-tenology-r-d.35BDD07F.html,chuyên viên nghiên cứu và phát triển sản phẩm (tenology r&d),TAKI GROUP,Hà Nội,2023-12-17,2023-11-18,Nhân viên chính thức,15 Tr - 25 Tr VND,Nhân viên,15.0,25.0,VND,1.0,5.0,năm,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDD07F
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-xu-ly-du-lieu.35BEF14D.html,nhân viên xử lý dữ liệu,Wanek Furniture,Bình Dương,2023-12-09,2023-11-16,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,2.0,,năm,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEF14D
https://careerbuilder.vn/vi/tim-viec-lam/data-science-manager.35BDA15F.html,data science manager,"HD Saison Finance Co., Ltd",Hồ Chí Minh,2023-11-19,2023-10-21,Nhân viên chính thức,Cạnh tranh,Quản lý,,,,3.0,5.0,năm,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDA15F
https://careerbuilder.vn/vi/tim-viec-lam/sales-planning-and-performance-analyst.35BE0867.html,sales planning and performance analyst,Yes4All Trading Services Company Limited,Hồ Chí Minh,2023-12-15,2023-11-16,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,2.0,năm,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE0867
https://careerbuilder.vn/vi/tim-viec-lam/data-operation-engineer.35BEF61A.html,data operation engineer,Tổng công ty Cổ phần Bảo hiểm Bưu điện,Hà Nội,2023-11-30,2023-11-13,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,3.0,năm,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEF61A
