job_link,job_title,comp_name,location,expire_date,update_date,industry,staff_type,salary,exp,job_level,Phương thức làm việc
https://careerbuilder.vn/vi/tim-viec-lam/hcm-sales-logistic-luong-cb-tu-8tr-thu-nhap-trung-binh-15-30tr.35BDB628.html,"[HCM] Sales Logistic - Lương CB từ 8TR, thu nhập trung bình 15-30TR",Công Ty Cổ Phần Hợp Nhất Quốc Tế,Hồ Chí Minh,Hạn nộp: 24-10-2023,['11-09-2023'],"Bán hàng / Kinh doanh, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,8 Tr - 30 Tr VND,1 - 3 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-xuat-nhap-khau-tieng-trung.35BD50A9.html,Nhân viên xuất nhập khẩu tiếng Trung,CÔNG TY TNHH GIAO NHẬN THƯƠNG MẠI RỒNG Á CHÂU,Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 6 ngày,['10-09-2023'],"Dịch vụ khách hàng, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,14 Tr - 20 Tr VND,2 - 5 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/truong-nhom-chung-tu-xuat-nhap-khau.35BD509C.html,Trưởng Nhóm Chứng Từ Xuất Nhập Khẩu,CÔNG TY TNHH GIAO NHẬN THƯƠNG MẠI RỒNG Á CHÂU,Đồng Nai,Cơ hội ứng tuyển chỉ còn: 6 ngày,['10-09-2023'],"Dịch vụ khách hàng, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,15 Tr - 20 Tr VND,3 - 5 Năm,Trưởng nhóm / Giám sát,nan
https://careerbuilder.vn/vi/tim-viec-lam/tax-accountant.35BD516C.html,Tax Accountant,"UNIEXPORT CO., LTD",Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 6 ngày,['10-09-2023'],"Kế toán / Kiểm toán, Xuất nhập khẩu, Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/project-accountant.35BD5170.html,Project Accountant,"UNIEXPORT CO., LTD",Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 6 ngày,['10-09-2023'],"Kế toán / Kiểm toán, Xuất nhập khẩu, Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-xuat-nhap-khau-tieng-trung.35BD510C.html,Nhân Viên Xuất Nhập Khẩu (Tiếng Trung),CÔNG TY TNHH ĐIỆN KHÍ QUỐC QUANG (VIỆT NAM),"Quảng Nam, Đà Nẵng",Cơ hội ứng tuyển chỉ còn: 6 ngày,['10-09-2023'],"Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu, Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,Trên2 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/corporate-sales-senior-business-development-manager.35BD5096.html,Corporate Sales/ Senior Business Development Manager,Willis Towers Watson Vietnam Insurance Broker,Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 6 ngày,['10-09-2023'],"Bảo hiểm, Nông nghiệp, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/long-an-co-xe-dua-don-tu-hcm-truong-phong-kinh-doanh-xuat-nhap-khau-marketing-upto-60m-22683.35BD5061.html,"[Long An, có xe đưa đón từ HCM] Trưởng Phòng Kinh Doanh Xuất Nhập Khẩu - Marketing- Upto 60M - 22683",Công Ty TNHH Reeracoen Việt Nam,Long An,Cơ hội ứng tuyển chỉ còn: 6 ngày,['10-09-2023'],"Tiếp thị / Marketing, Xuất nhập khẩu, Đồ gỗ",Nhân viên chính thức,30 Tr - 60 Tr VND,3 - 5 Năm,Quản lý,nan
https://careerbuilder.vn/vi/tim-viec-lam/giam-sat-khach-hang-chien-luoc-key-account-supervisor.35BD5017.html,Giám Sát Khách Hàng Chiến Lược /Key Account Supervisor,CÔNG TY CỔ PHẦN GIẢI PHÁP THƯƠNG MẠI ABA,"Hồ Chí Minh, Hà Nội",Cơ hội ứng tuyển chỉ còn: 5 ngày,['10-09-2023'],"Vận chuyển / Giao nhận /Kho vận, Quản lý điều hành, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,Trên2 Năm,Trưởng nhóm / Giám sát,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-mua-hang-quoc-te-purchasing-staff.35BD8F96.html,Nhân viên mua hàng quốc tế (Purchasing staff),CÔNG TY CỔ PHẦN ĐẦU TƯ BẢO LAI,Hà Nội,Cơ hội ứng tuyển chỉ còn: 6 ngày,['10-09-2023'],"Kế toán / Kiểm toán, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,13 Tr - 18 Tr VND,2 - 5 Năm,Nhân viên,nan
