job_link,job_title,comp_name,location,expire_date,update_date,industry,staff_type,salary,exp,job_level,Phương thức làm việc
https://careerbuilder.vn/vi/tim-viec-lam/tro-ly-giam-doc-dieu-hanh.35BDC43F.html,"Trợ lý giám đốc điều hành
                                             (Mới)",CÔNG TY TNHH GIAO NHẬN THƯƠNG MẠI RỒNG Á CHÂU,Hồ Chí Minh,Hạn nộp: 11-10-2023,['11-09-2023'],"Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,20 Tr - 30 Tr VND,3 - 5 Năm,Trưởng nhóm / Giám sát,nan
https://careerbuilder.vn/vi/tim-viec-lam/gap-truong-nhom-mua-hang-mua-hang-nuoc-ngoai.35BDC219.html,"(GẤP) TRƯỞNG NHÓM MUA HÀNG (MUA HÀNG NƯỚC NGOÀI)
                                             (Mới)",Công Ty Cổ Phần Kỹ Thuật Và Thiết Bị Y Tế Sài Gòn (SAGOMED),Hồ Chí Minh,Hạn nộp: 30-09-2023,['11-09-2023'],"Thu mua / Vật tư, Xuất nhập khẩu",Nhân viên chính thức,15 Tr - 25 Tr VND,5 - 10 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/shipping-and-receiving-leader-nhon-trach.35BD8EA7.html,Shipping and Receiving Leader (Nhơn Trạch),Summit Polymers Vietnam Co Ltd.,Đồng Nai,Hạn nộp: 09-10-2023,['10-09-2023'],"Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Trưởng nhóm / Giám sát,nan
https://careerbuilder.vn/vi/tim-viec-lam/logistic-executive.35BDC185.html,LOGISTIC EXECUTIVE,Công ty TNHH Olam Việt Nam,Đồng Nai,Hạn nộp: 08-10-2023,['09-09-2023'],"Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu, Thu mua / Vật tư",Nhân viên chính thức,Cạnh tranh,2 Năm,Trưởng nhóm / Giám sát,nan
https://careerbuilder.vn/vi/tim-viec-lam/giam-doc-xuat-nhap-khau.35BDBFFA.html,Giám Đốc Xuất Nhập Khẩu,Công Ty CP Công Nghiệp Kim Bình,Hồ Chí Minh,Hạn nộp: 08-10-2023,['09-09-2023'],nan,nan,nan,nan,nan,nan
https://careerbuilder.vn/vi/tim-viec-lam/forwarding-staff.35BDBF00.html,Forwarding staff,"Hanaro TNS Vietnam Co.,ltd",Hà Nội,Hạn nộp: 01-11-2023,['08-09-2023'],"Dịch vụ khách hàng, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,"8,000,000 - 14,000,000 VND",1 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/tro-ly-giam-doc-phat-trien-san-pham.35BDBE9E.html,Trợ Lý Giám Đốc Phát Triển Sản Phẩm,Công Ty Cổ Phần IPP Group,Hồ Chí Minh,Hạn nộp: 07-10-2023,['08-09-2023'],"Thực phẩm & Đồ uống, Hành chính / Thư ký, Xuất nhập khẩu",Nhân viên chính thức,17 Tr - 25 Tr VND,Trên2 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/supply-chain-planner.35BDBCFF.html,Supply chain planner,"Un-Available LTD Co.,",Hồ Chí Minh,Hạn nộp: 30-09-2023,['08-09-2023'],"Xuất nhập khẩu, Sản xuất / Vận hành sản xuất, Dệt may / Da giày / Thời trang",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-xuat-nhap-khau-logistics.35BDBDDF.html,Nhân Viên Kinh Doanh Xuất Nhập Khẩu (Logistics),CÔNG TY TNHH KINGFISHER LOGISTICS,Hồ Chí Minh,Hạn nộp: 07-10-2023,['07-09-2023'],"Bán hàng / Kinh doanh, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,12 Tr - 20 Tr VND,Trên1 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-mang-luoi.35BDBE11.html,Chuyên viên kinh doanh mạng lưới,Tổng Công Ty Chuyển Phát Nhanh Bưu Điện,Hà Nội,Hạn nộp: 07-10-2023,['07-09-2023'],"Tiếp thị / Marketing, Bán hàng / Kinh doanh, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,nan
