job_link,job_title,comp_name,location,expire_date,update_date,industry,staff_type,salary,exp,job_level,Phương thức làm việc
https://careerviet.vn/vi/tim-viec-lam/nhan-vien-chung-tu-hang-nhap-inbound-operations.35BF678F.html,"Nhân Viên Chứng Từ Hàng Nhập (Inbound Operations)
                                             (Mới)",Vantage Logistics Corporation,Hồ Chí Minh,Hạn nộp: 31-01-2024,['15-01-2024'],"Vận chuyển / Giao nhận /Kho vận, Hàng hải, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,nan
https://careerviet.vn/vi/tim-viec-lam/logistic-specialist-data-entry.35BF6714.html,"LOGISTIC SPECIALIST (DATA ENTRY)
                                             (Mới)",Công ty TNHH Chế Biến Thực phẩm Olam Việt Nam,Đồng Nai,Hạn nộp: 29-02-2024,['13-01-2024'],"Vận chuyển / Giao nhận /Kho vận,Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,1 Năm,Nhân viên,nan
https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-xuat-nhap-khau.35BF66DF.html,"Chuyên viên Xuất nhập khẩu
                                             (Mới)",CareerViet's client,Hà Nội,Hạn nộp: 12-02-2024,['13-01-2024'],"Xuất nhập khẩu, Thu mua / Vật tư",Nhân viên chính thức,15 Tr - 20 Tr VND,3 - 5 Năm,Nhân viên,nan
https://careerviet.vn/vi/tim-viec-lam/truong-nhom-xuat-nhap-khau-tieng-trung.35BF2EBF.html,Trưởng nhóm Xuất nhập khẩu (tiếng Trung),Công ty Cổ phần Tập đoàn KITA Group,Hồ Chí Minh,Hạn nộp: 11-02-2024,['13-01-2024'],"Xuất nhập khẩu, Thu mua / Vật tư, Vận chuyển / Giao nhận /Kho vận",Nhân viên chính thức,20 Tr - 28 Tr VND,3 - 8 Năm,Quản lý,nan
https://careerviet.vn/vi/tim-viec-lam/agency-oversea-sales-manager.35BF5A7E.html,AGENCY (OVERSEA SALES) MANAGER,SCT LOGISTICS JSC,Hồ Chí Minh,Hạn nộp: 31-01-2024,['13-01-2024'],nan,nan,nan,nan,nan,nan
https://careerviet.vn/vi/tim-viec-lam/purchase-officer.35BF63EF.html,Purchase Officer,CÔNG TY TNHH THIẾT BỊ ĐIỆN LẠNH CLIMAVENETA CHAT UNION VIỆT NAM,Long An,Hạn nộp: 11-02-2024,['12-01-2024'],"Bán hàng / Kinh doanh, Điện / Điện tử / Điện lạnh, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,Trên2 Năm,Nhân viên,nan
https://careerviet.vn/vi/tim-viec-lam/nhan-vien-sale-xuat-khau.35BF2C4A.html,Nhân Viên Sale Xuất Khẩu,CÔNG TY TNHH TM DV XUẤT NHẬP KHẨU NGỌC CHÂU,Hồ Chí Minh,Hạn nộp: 10-02-2024,['12-01-2024'],"Bán hàng / Kinh doanh, Xuất nhập khẩu",Nhân viên chính thức,7 Tr - 10 Tr VND,Trên1 Năm,Nhân viên,nan
https://careerviet.vn/vi/tim-viec-lam/customs-transportation-supervisor.35BF5855.html,Customs & Transportation Supervisor,Công Ty Camso Việt Nam,Bình Dương,Hạn nộp: 05-02-2024,['12-01-2024'],"Vận chuyển / Giao nhận /Kho vận, Cơ khí / Ô tô / Tự động hóa, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,Trên6 Năm,Trưởng nhóm / Giám sát,nan
https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-xuat-khau-gioi-tieng-anh.35BF5832.html,Nhân viên kinh doanh xuất khẩu (Giỏi tiếng Anh),Công ty Cổ phần ĐẠI ĐỒNG TIẾN,Hồ Chí Minh,Hạn nộp: 04-02-2024,['12-01-2024'],"Bán hàng / Kinh doanh, Hàng gia dụng / Chăm sóc cá nhân, Xuất nhập khẩu",Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,nan
https://careerviet.vn/vi/tim-viec-lam/import-export-executive.35BF6425.html,Import/Export Executive,Công ty TNHH Bao Bì Nước Giải Khát Crown Vũng Tàu,Bà Rịa - Vũng Tàu,Hạn nộp: 31-01-2024,['11-01-2024'],"Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu, Thu mua / Vật tư",Nhân viên chính thức,Cạnh tranh,3 - 4 Năm,Nhân viên,nan
https://careerviet.vn/vi/tim-viec-lam/tro-ly-tong-giam-doc-ve-doi-ngoai.35BF61F4.html,Trợ lý Tổng Giám đốc về Đối ngoại,Công Ty TNHH Sản Xuất - Cung ứng Vật Tư Nông Nghiệp Xanh (GAPRO VIETNAM),Hồ Chí Minh,Hạn nộp: 09-02-2024,['11-01-2024'],"Bán hàng / Kinh doanh, Xuất nhập khẩu",Nhân viên chính thức,13 Tr - 30 Tr VND,2 - 3 Năm,Quản lý,nan
https://careerviet.vn/vi/tim-viec-lam/import-export-executive-duc-hoa-long-an-co-xe-dua-don-nhan-vien-tu-hcm.35BF5630.html,"Import Export Executive (Đức Hoà, Long An- Có xe đưa đón nhân viên từ HCM)",Công ty TNHH GIVI VIỆT NAM,Long An,Hạn nộp: 04-02-2024,['11-01-2024'],nan,nan,nan,nan,nan,nan
https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-logistics.35BF122F.html,Nhân viên Kinh doanh Logistics,Tổng Công Ty Chuyển Phát Nhanh Bưu Điện,Hà Nội,Hạn nộp: 27-01-2024,['10-01-2024'],"Tiếp thị / Marketing, Bán hàng / Kinh doanh, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,nan
https://careerviet.vn/vi/tim-viec-lam/customer-service-staff.35BF5E79.html,Customer Service Staff,"Times Cargo Logistic Co,. LTD",Hồ Chí Minh,Hạn nộp: 09-02-2024,['10-01-2024'],"Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu, Biên phiên dịch",Nhân viên chính thức,10 Tr - 12 Tr VND,Lên đến1Năm,Nhân viên,nan
