job_link,job_title,comp_name,location,expire_date,update_date,industry,staff_type,salary,exp,job_level,Phương thức làm việc
https://careerbuilder.vn/vi/tim-viec-lam/pricing-tender-executive.35BDF32C.html,PRICING TENDER EXECUTIVE,PERSOLKELLY Vietnam,Hồ Chí Minh,Hạn nộp: 04-12-2023,['05-11-2023'],Xuất nhập khẩu,Nhân viên chính thức,23 Tr - 29 Tr VND,5 - 10 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/pricing-booking-leader-logistics.35BDEEB3.html,PRICING/BOOKING LEADER (LOGISTICS),CÔNG TY TNHH VẬN CHUYỂN VÙNG VỊNH,Hồ Chí Minh,Hạn nộp: 03-12-2023,['04-11-2023'],"Bán hàng / Kinh doanh, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,15 Tr - 20 Tr VND,2 - 4 Năm,Quản lý,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-xuat-nhap-khau.35BEE5CA.html,"Nhân viên Xuất- Nhập Khẩu
                                             (Mới)",CÔNG TY TNHH MAY MẶC KIM HỒNG,Hồ Chí Minh,Hạn nộp: 30-11-2023,['04-11-2023'],Xuất nhập khẩu,Nhân viên chính thức,Trên12 Tr VND,Trên2 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-khai-bao-hai-quan.35BEE4E7.html,"Nhân Viên Khai Báo Hải Quan
                                             (Mới)",CN CÔNG TY TNHH SITC LOGISTICS VIỆT NAM TẠI TPHCM,Hồ Chí Minh,,['04-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,10 Tr - 12 Tr VND,3 - 5 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-logistics.35BE0543.html,Nhân viên Logistics,CÔNG TY CỔ PHẦN NHỰA CHÂU ÂU,Hà Nội,Hạn nộp: 15-11-2023,['04-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Quảng cáo / Đối ngoại / Truyền Thông, Xuất nhập khẩu",Nhân viên chính thức,13 Tr - 15 Tr VND,Trên2 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-ban-hang-xuat-khau.35BDED00.html,Chuyên Viên Bán Hàng Xuất Khẩu,CÔNG TY CỔ PHẦN XUÂN HÒA VIỆT NAM,Vĩnh Phúc,Hạn nộp: 02-12-2023,['03-11-2023'],"Bán hàng / Kinh doanh, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-xuat-khau-soi.35BEE27B.html,Chuyên viên kinh doanh xuất khẩu Sợi,TỔNG CÔNG TY CP PHONG PHÚ,Hồ Chí Minh,Hạn nộp: 02-12-2023,['03-11-2023'],"Bán hàng / Kinh doanh, Xuất nhập khẩu, Dệt may / Da giày / Thời trang",Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 10 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-chung-tu-xuat-nhap-khau.35BEE13F.html,Nhân Viên Chứng Từ Xuất Nhập Khẩu,Công Ty TNHH JM Textile Vina,Bình Dương,Hạn nộp: 01-12-2023,['03-11-2023'],"Hành chính / Thư ký, Xuất nhập khẩu, Dệt may / Da giày / Thời trang",Nhân viên chính thức,Cạnh tranh,nan,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/phien-dich-tieng-han-uu-tien-ung-vien-co-kinh-nghiem-ve-nhap-khau-xin-giay-phep.35BE1958.html,PHIÊN DỊCH TIẾNG HÀN - (Ưu tiên ứng viên có kinh nghiệm về nhập khẩu/xin giấy phép),Công ty TNHH JM,Hồ Chí Minh,Hạn nộp: 24-11-2023,['02-11-2023'],"Hành chính / Thư ký, Biên phiên dịch, Xuất nhập khẩu",Nhân viên chính thức,20 Tr - 30 Tr VND,2 - 3 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/pho-giam-doc-van-hanh-cang.35BE0B87.html,Phó Giám Đốc Vận Hành Cảng,Pacific Corporations,"Bình Thuận, Hồ Chí Minh",Hạn nộp: 18-11-2023,['02-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Quản lý điều hành, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,Trên5 Năm,Phó Giám đốc,nan
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-xuat-nhap-khau-kiem-mua-hang-trong-nuoc.35BEE008.html,Chuyên Viên Xuất Nhập Khẩu kiêm mua hàng trong nước,CÔNG TY TNHH ECOBA CÔNG NGHỆ MÔI TRƯỜNG,Hà Nội,Hạn nộp: 15-11-2023,['01-11-2023'],"Môi trường, Xuất nhập khẩu, Thu mua / Vật tư",Nhân viên chính thức,10 Tr - 20 Tr VND,1 - 5 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-logistics.35BE1845.html,Nhân viên kinh doanh Logistics,Tổng Công Ty Chuyển Phát Nhanh Bưu Điện,"Hà Nội, Hồ Chí Minh",Hạn nộp: 30-11-2023,['31-10-2023'],"Tiếp thị / Marketing, Bán hàng / Kinh doanh, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,nan
