job_link,job_title,comp_name,location,expire_date,update_date,industry,staff_type,salary,exp,job_level
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-mo-hinh-du-lieu-data-modeling.35BDEEE3.html,Chuyên Viên - Quản Trị Mô Hình Dữ Liệu (Data Modeling),Công Ty CP Vàng Bạc Đá Quý Phú Nhuận - PNJ,Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 4 ngày,['04-11-2023'],"CNTT - Phần mềm, Thống kê",Nhân viên chính thức,Cạnh tranh,2 - 4 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/van-phong-chuyen-doi-trung-tam-du-lieu-phan-tich-chuyen-gia-phong-chien-luoc-du-lieu.35BF0699.html,Văn phòng Chuyển đổi - Trung tâm Dữ liệu & Phân tích - Chuyên gia Phòng Chiến lược dữ liệu,LPBank,Hà Nội,Hạn nộp: 31-12-2023,['29-11-2023'],"Bán hàng / Kinh doanh, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/van-phong-chuyen-doi-trung-tam-du-lieu-phan-tich-to-truong-phong-phan-tich-khai-thac-du-lieu.35BF069C.html,Văn phòng Chuyển đổi - Trung tâm Dữ liệu & Phân tích - Tổ trưởng Phòng Phân tích & Khai thác Dữ liệu,LPBank,Hà Nội,Hạn nộp: 31-12-2023,['29-11-2023'],"Bán hàng / Kinh doanh, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên5 Năm,Quản lý
https://careerbuilder.vn/vi/tim-viec-lam/van-phong-chuyen-doi-trung-tam-du-lieu-phan-tich-chuyen-gia-phong-phan-tich-khai-thac-du-lieu.35BF06A0.html,Văn phòng Chuyển đổi - Trung tâm Dữ liệu & Phân tích - Chuyên gia Phòng Phân tích & Khai thác Dữ liệu,LPBank,Hà Nội,Hạn nộp: 31-12-2023,['29-11-2023'],"Bán hàng / Kinh doanh, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên5 Năm,Quản lý
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-du-lieu.35BDE1EE.html,Chuyên viên Phân tích dữ liệu,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Hạn nộp: 26-12-2023,['27-11-2023'],"CNTT - Phần mềm, Kế toán / Kiểm toán, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên3 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-tai-chinh-mang-du-lieu.35BEFBA5.html,Chuyên viên Tài chính mảng Dữ liệu,Công Ty Quản Lý Nợ Và Khai Thác Tài Sản - Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 31-12-2023,['29-11-2023'],"Kế toán / Kiểm toán, Ngân hàng, Tài chính / Đầu tư",Nhân viên chính thức,12 Tr - 25 Tr VND,Trên2 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/van-phong-chuyen-doi-trung-tam-du-lieu-phan-tich-chuyen-vien-cap-4-phong-phan-tich-khai-thac-du-lieu.35BF06A1.html,Văn phòng Chuyển đổi - Trung tâm Dữ liệu & Phân tích - Chuyên viên cấp 4 Phòng Phân tích & Khai thác Dữ liệu,LPBank,Hà Nội,Hạn nộp: 31-12-2023,['29-11-2023'],"Bán hàng / Kinh doanh, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên3 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-quan-tri-du-lieu-ha-noi-ta083.35BE5852.html,Chuyên viên cao cấp Quản trị dữ liệu - Hà Nội - TA083,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Hạn nộp: 25-12-2023,['26-11-2023'],"CNTT - Phần mềm, Kế toán / Kiểm toán, Ngân hàng",Nhân viên chính thức,Cạnh tranh,2 - 4 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cvcc-mo-hinh-kinh-doanh-data-scientist-khoi-du-lieu.35BDCD0F.html,Chuyên viên/CVCC Mô hình kinh doanh (Data scientist) - Khối Dữ liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 14-12-2023,['15-11-2023'],"CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên1 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cvcc-mo-hinh-kinh-doanh-data-scientist-khoi-du-lieu.35BEE567.html,Chuyên viên/CVCC Mô hình kinh doanh (Data scientist) - Khối Dữ liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 31-12-2023,['24-11-2023'],"CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên1 Năm,Nhân viên
