job_link,job_title,comp_name,location,expire_date,update_date,industry,staff_type,salary,exp,job_level,Phương thức làm việc
https://careerbuilder.vn/vi/tim-viec-lam/logistics-planner-nhan-vien-hau-can-lam-viec-tai-binh-duong.35BEE481.html,"Logistics Planner (Nhân Viên Hậu Cần, làm việc tại Bình Dương)",Jotun Paints Vietnam Company Limited,Bình Dương,Hạn nộp: 30-11-2023,['03-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Hóa học, Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-lai-xe-nang.35BDFB0B.html,NHÂN VIÊN LÁI XE NÂNG,Công Ty TNHH CJ Vina Agri,Vĩnh Long,Hạn nộp: 30-11-2023,['03-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Lao động phổ thông",Nhân viên chính thức,8 Tr - 15 Tr VND,1 - 10 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-vien.35BDEA55.html,Kế Toán Viên,CÔNG TY TNHH CHĂN GA GỐI ĐỆM ELAN,Hải Phòng,Hạn nộp: 01-12-2023,['02-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Kế toán / Kiểm toán, Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên2 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/national-transportation-manager.35BEE002.html,National Transportation Manager,Toll Group I Logistic and Forwarding,Hồ Chí Minh,Hạn nộp: 01-12-2023,['01-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,Trên5 Năm,Quản lý,nan
https://careerbuilder.vn/vi/tim-viec-lam/chief-accountant.35BE086D.html,Chief Accountant,YUNEXPRESS LOGISTICS VIETNAM,Hồ Chí Minh,Hạn nộp: 30-11-2023,['31-10-2023'],Vận chuyển / Giao nhận /Kho vận,Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Quản lý,nan
https://careerbuilder.vn/vi/tim-viec-lam/truong-buu-cuc-khach-hang-lon-tai-tay-ninh.35BDE275.html,Trưởng Bưu cục khách hàng lớn tại Tây Ninh,Tổng Công Ty Chuyển Phát Nhanh Bưu Điện,Tây Ninh,Hạn nộp: 26-11-2023,['28-10-2023'],"Bán hàng / Kinh doanh, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Quản lý,nan
https://careerbuilder.vn/vi/tim-viec-lam/truong-phong-ke-hoach-cung-ung.35BE1ACB.html,Trưởng Phòng Kế Hoạch - Cung Ứng,Công ty Cổ phần Sữa VitaDairy Việt Nam,Bình Dương,,['26-10-2023'],nan,nan,nan,nan,nan,nan
https://careerbuilder.vn/vi/tim-viec-lam/giam-sat-dieu-phoi-kho.35BE093B.html,Giám Sát Điều Phối Kho,TÂN THẾ KỶ,Hồ Chí Minh,Hạn nộp: 17-11-2023,['23-10-2023'],"Vận chuyển / Giao nhận /Kho vận, Lao động phổ thông, Kế toán / Kiểm toán",Nhân viên chính thức,15 Tr - 17 Tr VND,Trên3 Năm,Trưởng nhóm / Giám sát,nan
https://careerbuilder.vn/vi/tim-viec-lam/warehouse-supervisor-asian-blending-san-xuat-sua-cafe-cacao-banh-keo.35BE07DF.html,WAREHOUSE SUPERVISOR- ASIAN BLENDING - sản xuất sữa-cafe-cacao bánh kẹo,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HIGHER VIỆT NAM,Đồng Nai,Hạn nộp: 16-11-2023,['21-10-2023'],"Vận chuyển / Giao nhận /Kho vận, Công nghệ thực phẩm / Dinh dưỡng, Thu mua / Vật tư",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Trưởng nhóm / Giám sát,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-sales-logistics.35BEEC16.html,"Nhân Viên Sales Logistics
                                                                (Mới)",CÔNG TY TNHH KINGFISHER LOGISTICS,Hồ Chí Minh,Hạn nộp: 06-12-2023,['07-11-2023'],"Bán hàng / Kinh doanh, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,7 Tr - 18 Tr VND,Trên1 Năm,Nhân viên,nan
