job_link,job_title,comp_name,location,expire_date,update_date,staff_type,salary,job_level,sal_min,sal_max,currency,exp_min,exp_max,exp_measurement,location_Hồ Chí Minh,location_Đồng Nai,location_Hà Nội,location_Hải Phòng,location_Phú Thọ,location_Bình Dương,location_Bình Thuận,location_Cà Mau,location_Bắc Ninh,location_Bà Rịa - Vũng Tàu,location_Bình Phước,location_Yên Bái,location_Long An,location_Quảng Nam,location_Đà Nẵng,location_Hải Dương,location_Hưng Yên,location_Bắc Giang,location_Hà Nam,location_An Giang,location_Bến Tre,location_Hà Tĩnh,location_Tây Ninh,location_Đồng Tháp,location_Vĩnh Phúc,location_Bình Định,location_Thái Nguyên,location_KV Bắc Trung Bộ,location_Tiền Giang,location_Quốc tế,location_Hậu Giang,location_Cần Thơ,location_Quảng Ngãi,location_Quảng Ninh,location_Thanh Hóa,industry_Vận chuyển / Giao nhận /Kho vận,industry_Xuất nhập khẩu,industry_Thu mua / Vật tư,industry_Dịch vụ khách hàng,industry_Thực phẩm & Đồ uống,industry_Hành chính / Thư ký,industry_Sản xuất / Vận hành sản xuất,industry_Dệt may / Da giày / Thời trang,industry_Bán hàng / Kinh doanh,industry_Tiếp thị / Marketing,industry_Quảng cáo / Đối ngoại / Truyền Thông,industry_Hàng hải,industry_Đồ gỗ,industry_Nội ngoại thất,industry_Biên phiên dịch,industry_Bán lẻ / Bán sỉ,industry_Ngành khác,industry_Thủy sản / Hải sản,industry_Quản lý chất lượng (QA/QC),industry_Mới tốt nghiệp / Thực tập,industry_Kế toán / Kiểm toán,industry_Y tế / Chăm sóc sức khỏe,industry_Nhà hàng / Khách sạn,industry_CNTT - Phần mềm,industry_Khoáng sản,industry_Bưu chính viễn thông,industry_Bảo hiểm,industry_Nông nghiệp,industry_Quản lý điều hành,industry_Tư vấn,industry_Xây dựng,industry_Chăn nuôi / Thú y,industry_Luật / Pháp lý,industry_Bất động sản,industry_Dược phẩm,industry_An toàn lao động,industry_Giáo dục / Đào tạo,industry_Cơ khí / Ô tô / Tự động hóa,industry_Hàng không,industry_Điện / Điện tử / Điện lạnh,industry_CNTT - Phần cứng / Mạng,industry_Mỹ thuật / Nghệ thuật / Thiết kế,industry_Tài chính / Đầu tư,industry_Thống kê,industry_Hàng gia dụng / Chăm sóc cá nhân,industry_Công nghệ thực phẩm / Dinh dưỡng,industry_Hóa học,job_id
https://careerbuilder.vn/vi/tim-viec-lam/export-officer.35BD9486.html,export officer,East West Industries Vietnam LLC.,"Bình Dương, Hồ Chí Minh, Đồng Nai",2023-09-13,2023-08-14,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,3.0,năm,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35BD9486
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-xuat-nhap-khau-va-logistics.35BD948C.html,nhân viên xuất nhập khẩu và logistics,Công ty Cổ Phần Tập Đoàn Bizman,Hà Nội,2023-10-31,2023-08-14,Nhân viên chính thức,10 Tr - 20 Tr VND,Nhân viên,10.0,20.0,VND,2.0,10.0,năm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BD948C
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-quan-ly-kho.35BD9372.html,nhân viên quản lý kho,Công ty TNHH LECI,Hồ Chí Minh,2023-09-30,2023-08-14,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BD9372
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-giao-nhan.35BD92E6.html,nhân viên giao nhận,"UNIEXPORT CO., LTD",Hồ Chí Minh,,2023-08-14,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,2.0,3.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BD92E6
https://careerbuilder.vn/vi/tim-viec-lam/truong-nhom-kinh-doanh-sales-leader-logistics-upto-30-trieu-thang.35BD1B21.html,trưởng nhóm kinh doanh (sales leader logistics) upto 30 triệu/ tháng,CÔNG TY TNHH GIAO NHẬN VẬN TẢI HÀNG HÓA QUỐC TẾ VIVA,Hà Nội,2023-09-13,2023-08-14,Nhân viên chính thức,20 Tr - 30 Tr VND,Trưởng nhóm / Giám sát,20.0,30.0,VND,2.0,3.0,năm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BD1B21
https://careerbuilder.vn/vi/tim-viec-lam/truong-phong-kinh-doanh.35BD56F7.html,trưởng phòng kinh doanh,Công ty cổ phần sản xuất và xuất khẩu Quế hồi Việt Nam,Hà Nội,2023-09-13,2023-08-14,Nhân viên chính thức,20 Tr - 25 Tr VND,Trưởng nhóm / Giám sát,20.0,25.0,VND,5.0,,năm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BD56F7
https://careerbuilder.vn/vi/tim-viec-lam/hn-sales-logistic-luong-cb-tu-8tr-thu-nhap-trung-binh-15-30tr.35BD5893.html,"[hn] sales logistic - lương cb từ 8tr, thu nhập trung bình 15-30tr",Công Ty Cổ Phần Hợp Nhất Quốc Tế,Hà Nội,2023-09-13,2023-08-14,Nhân viên chính thức,8 Tr - 10 Tr VND,Nhân viên,8.0,10.0,VND,1.0,3.0,năm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BD5893
https://careerbuilder.vn/vi/tim-viec-lam/truong-phong-kinh-doanh-thu-nhap-hap-dan.35BD58BD.html,trưởng phòng kinh doanh (thu nhập hấp dẫn),Công Ty TNHH Kinh Doanh Thương Mại Và Xuất Nhập Khẩu Bảo Tín,Hà Nội,2023-09-13,2023-08-14,Nhân viên chính thức,Trên20 Tr VND,Trưởng nhóm / Giám sát,20.0,,VND,1.0,,năm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BD58BD
https://careerbuilder.vn/vi/tim-viec-lam/tts-mua-hang-nhap-khau.35BDBE4E.html,tts mua hàng nhập khẩu,HBS VIET NAM,Hà Nội,2023-09-15,2023-09-07,Thực tập,Trên2 Tr VND,Sinh viên/ Thực tập sinh,2.0,,VND,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDBE4E
https://careerbuilder.vn/vi/tim-viec-lam/thuc-tap-sinh-phong-kinh-doanh-quoc-te.35BDBCAB.html,thực tập sinh phòng kinh doanh quốc tế,CÔNG TY CỔ PHẦN KHOÁNG SẢN VẬT LIỆU Á CỘNG,Hồ Chí Minh,2023-09-30,2023-09-07,Thực tập,1 Tr - 3 Tr VND,Sinh viên/ Thực tập sinh,1.0,3.0,VND,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDBCAB
