job_link,job_title,comp_name,location,expire_date,update_date,staff_type,salary,job_level,Phương thức làm việc,sal_min,sal_max,currency,exp_min,exp_max,exp_measurement,location_Hồ Chí Minh,location_Đồng Nai,location_Hà Nội,location_Long An,location_Bình Dương,location_Bà Rịa - Vũng Tàu,location_Hải Phòng,location_Hải Dương,location_Đà Nẵng,location_Thanh Hóa,location_Bắc Ninh,location_Quốc tế,location_Hậu Giang,location_Nghệ An,location_Quảng Ngãi,location_Bình Thuận,location_Thái Bình,location_Nam Định,location_Hà Nam,location_Bến Tre,location_Bình Định,location_Hưng Yên,location_Tây Ninh,location_Yên Bái,location_Quảng Ninh,location_Dak Lak,location_Khánh Hòa,location_Ninh Thuận,location_Bắc Giang,location_Tiền Giang,location_Vĩnh Phúc,location_Cần Thơ,location_Quảng Nam,location_Lâm Đồng,location_New Jersey,location_Lạng Sơn,location_Vĩnh Long,industry_Vận chuyển / Giao nhận /Kho vận,industry_Hàng hải,industry_Xuất nhập khẩu,industry_Thu mua / Vật tư,industry_Bán hàng / Kinh doanh,industry_Điện / Điện tử / Điện lạnh,industry_Cơ khí / Ô tô / Tự động hóa,industry_Hàng gia dụng / Chăm sóc cá nhân,industry_Tiếp thị / Marketing,industry_Biên phiên dịch,industry_Sản xuất / Vận hành sản xuất,industry_Dịch vụ khách hàng,industry_Bán lẻ / Bán sỉ,industry_Đồ gỗ,industry_Nội ngoại thất,industry_Quản lý điều hành,industry_Thực phẩm & Đồ uống,industry_Nông nghiệp,industry_Hành chính / Thư ký,industry_Hóa học,industry_Kế toán / Kiểm toán,industry_Tài chính / Đầu tư,industry_Dệt may / Da giày / Thời trang,industry_Ngân hàng,industry_Thống kê,industry_Ngành khác,industry_CNTT - Phần mềm,industry_Tiếp thị trực tuyến,industry_Quản lý chất lượng (QA/QC),industry_Mỹ thuật / Nghệ thuật / Thiết kế,industry_Tư vấn,industry_Công nghệ thực phẩm / Dinh dưỡng,industry_Giáo dục / Đào tạo,industry_Truyền hình / Báo chí / Biên tập,industry_Thủy sản / Hải sản,industry_Luật / Pháp lý,industry_Y tế / Chăm sóc sức khỏe,industry_Quảng cáo / Đối ngoại / Truyền Thông,industry_Mới tốt nghiệp / Thực tập,industry_Dầu khí,industry_Chăn nuôi / Thú y,industry_Nhà hàng / Khách sạn,industry_Bưu chính viễn thông,industry_Bảo hiểm,industry_Xây dựng,industry_Hàng không,industry_Công nghệ sinh học,industry_Bảo trì / Sửa chữa,industry_Lao động phổ thông,industry_Nhân sự,job_id
https://careerviet.vn/vi/tim-viec-lam/ke-toan-truong.35BB95E1.html,kế toán trưởng,Công ty TNHH TANISA,Hồ Chí Minh,,2024-01-13,Nhân viên chính thức,Cạnh tranh,Trưởng nhóm / Giám sát,,,,,3.0,5.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BB95E1
https://careerviet.vn/vi/tim-viec-lam/nhan-vien-sale-quoc-te-lam-viec-tai-tphcm.35BF40BF.html,nhân viên sale quốc tế làm việc tại tphcm,Công ty Cổ phần Đầu tư Dừa Bến Tre,Hồ Chí Minh,2024-01-15,2024-01-13,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,,2.0,3.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BF40BF
https://careerviet.vn/vi/tim-viec-lam/nhan-vien-sale-quoc-te-lam-viec-tai-ben-tre.35BF40BE.html,nhân viên sale quốc tế làm việc tại bến tre,Công ty Cổ phần Đầu tư Dừa Bến Tre,Bến Tre,2024-01-15,2024-01-13,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,,2.0,3.0,năm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BF40BE
https://careerviet.vn/vi/tim-viec-lam/truong-phong-phat-trien-kinh-doanh-mien-bac-klc-commercial.35BF4D7D.html,trưởng phòng phát triển kinh doanh miền bắc - klc commercial,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU KLC (KLC COMMERCIAL),Hồ Chí Minh,2024-01-31,2024-01-13,Nhân viên chính thức,Cạnh tranh,Quản lý,,,,,5.0,10.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BF4D7D
https://careerviet.vn/vi/tim-viec-lam/truong-nganh-hang-non-food-klc-commercial.35BF4D79.html,trưởng ngành hàng non-food  klc commercial,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU KLC (KLC COMMERCIAL),Hồ Chí Minh,2024-01-31,2024-01-13,Nhân viên chính thức,Cạnh tranh,Trưởng nhóm / Giám sát,,,,,5.0,10.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BF4D79
https://careerviet.vn/vi/tim-viec-lam/translator-to-gm-quy-nhon.35BDFD99.html,translator to gm (quy nhon),CÔNG TY TNHH GARDENLINE VN,Bình Định,2024-01-30,2024-01-13,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,,2.0,3.0,năm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDFD99
https://careerviet.vn/vi/tim-viec-lam/mua-hang-nganh-co-khi-cu-chi.35BF4D64.html,mua hàng ngành cơ khí [củ chi],CÔNG TY CP SAIGON AUTO SUPPORTING INDUSTRY,Hồ Chí Minh,2024-01-31,2024-01-13,Nhân viên chính thức,9 Tr - 12 Tr VND,Nhân viên,,9.0,12.0,VND,1.0,,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BF4D64
https://careerviet.vn/vi/tim-viec-lam/nhan-vien-xuat-nhap-khau-tieng-trung.35BF5A8B.html,nhân viên xuất nhập khẩu (tiếng trung),Công Ty Cổ Phần đầu tư sản xuất Bảo Ngọc,Hà Nội,2024-02-04,2024-01-13,Nhân viên chính thức,13 Tr - 25 Tr VND,Nhân viên,,13.0,25.0,VND,1.0,10.0,năm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BF5A8B
https://careerviet.vn/vi/tim-viec-lam/kinh-doanh-xuat-nhap-khau-gioi-tieng-hoa.35BF5A55.html,kinh doanh xuất nhập khẩu (giỏi tiếng hoa),Công Ty CP Interlink,Hồ Chí Minh,2024-02-29,2024-01-13,Nhân viên chính thức,10 Tr - 25 Tr VND,Trưởng nhóm / Giám sát,,10.0,25.0,VND,2.0,5.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BF5A55
https://careerviet.vn/vi/tim-viec-lam/air-freight-sales-senior-logistics.35BF5A4A.html,air freight sales senior (logistics),Interlink JSC,Hồ Chí Minh,2024-02-29,2024-01-13,Nhân viên chính thức,12 Tr - 25 Tr VND,Nhân viên,,12.0,25.0,VND,3.0,5.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BF5A4A
https://careerviet.vn/vi/tim-viec-lam/thang-long-2-hung-yen-co-xe-dua-don-purchasing-staff-11m-13m-23754.35BF6625.html,"[thăng long 2, hưng yên, có xe đưa đón] purchasing staff (11m - 13m) (23754)",Công Ty TNHH Reeracoen Việt Nam,Hưng Yên,2024-02-12,2024-01-12,Nhân viên chính thức,11 Tr - 13 Tr VND,Nhân viên,,11.0,13.0,VND,2.0,5.0,năm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BF6625
https://careerviet.vn/vi/tim-viec-lam/oe-hung-ha-tuyen-chuyen-vien-tu-van-tuyen-sinh-khong-yeu-cau-kinh-nghiem-di-lam-ngay.35BF6602.html,[oe hưng hà] tuyển chuyên viên tư vấn tuyển sinh - không yêu cầu kinh nghiệm - đi làm ngay,Công Ty CP Giáo Dục Đại Dương,Thái Bình,2024-02-09,2024-01-12,Nhân viên chính thức,11 Tr - 14 Tr VND,Nhân viên,,11.0,14.0,VND,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BF6602
https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-phu-trach-thi-truong-tq-va-thi-truong-noi-tieng-trung.35BF65F3.html,chuyên viên kinh doanh phụ trách thị trường tq và thị trường nói tiếng trung,CÔNG TY CỔ PHẦN TẬP ĐOÀN XUẤT - NHẬP KHẨU TRÁI CÂY CHÁNH THU,Hồ Chí Minh,2024-02-12,2024-01-12,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,,1.0,,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BF65F3
