job_link,job_title,comp_name,location,expire_date,update_date,staff_type,salary,job_level,sal_min,sal_max,currency,exp_min,exp_max,exp_measurement,location_Hồ Chí Minh,location_Đồng Nai,location_Tây Ninh,location_Vĩnh Phúc,location_Hà Nội,location_Bình Dương,location_An Giang,location_New Jersey,location_Hải Phòng,location_Bình Thuận,location_Hưng Yên,location_Hà Nam,location_Quảng Nam,location_Đà Nẵng,location_Cần Thơ,location_Bắc Ninh,location_Bình Phước,location_Hải Dương,location_Bà Rịa - Vũng Tàu,location_Phú Thọ,location_Long An,location_Quảng Ninh,location_Đồng Tháp,location_Cà Mau,location_Bắc Giang,location_Thanh Hóa,location_Bến Tre,location_Tiền Giang,location_Hà Tĩnh,location_KV Bắc Trung Bộ,location_Quốc tế,location_Yên Bái,location_Bình Định,industry_Bán hàng / Kinh doanh,industry_Vận chuyển / Giao nhận /Kho vận,industry_Xuất nhập khẩu,industry_Điện / Điện tử / Điện lạnh,industry_Thu mua / Vật tư,industry_Nhân sự,industry_Sản xuất / Vận hành sản xuất,industry_Thực phẩm & Đồ uống,industry_Công nghệ thực phẩm / Dinh dưỡng,industry_Dịch vụ khách hàng,industry_Tiếp thị / Marketing,industry_Kế toán / Kiểm toán,industry_Hành chính / Thư ký,industry_Quản lý điều hành,industry_Quảng cáo / Đối ngoại / Truyền Thông,industry_Tài chính / Đầu tư,industry_Tư vấn,industry_Hàng hải,industry_Đồ gỗ,industry_Nội ngoại thất,industry_Dệt may / Da giày / Thời trang,industry_Hàng gia dụng / Chăm sóc cá nhân,industry_Cơ khí / Ô tô / Tự động hóa,industry_Quản lý chất lượng (QA/QC),industry_Y tế / Chăm sóc sức khỏe,industry_Bán lẻ / Bán sỉ,industry_Xây dựng,industry_Ngành khác,industry_Biên phiên dịch,industry_Mới tốt nghiệp / Thực tập,industry_Luật / Pháp lý,industry_Khoáng sản,industry_CNTT - Phần mềm,industry_An toàn lao động,industry_Hóa học,industry_Bưu chính viễn thông,industry_Nông nghiệp,industry_Thủy sản / Hải sản,industry_Chăn nuôi / Thú y,industry_Dược phẩm,industry_Môi trường,industry_Thống kê,industry_Nhà hàng / Khách sạn,industry_Hàng không,industry_Giáo dục / Đào tạo,industry_Bất động sản,industry_Bảo hiểm,industry_CNTT - Phần cứng / Mạng,industry_Mỹ thuật / Nghệ thuật / Thiết kế,job_id
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-sales-logistics.35BDC51E.html,nhân viên sales logistics,CÔNG TY TNHH FBI LOGISTICS,Hồ Chí Minh,2023-10-31,2023-10-03,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,2.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDC51E
https://careerbuilder.vn/vi/tim-viec-lam/urgent-nhan-vien-kinh-doanh-logistic-hai-phong-8-10m.35BDC5E9.html,[urgent] nhân viên kinh doanh logistic (hải phòng) (8-10m),Công Ty TNHH Star Concord (Việt Nam),Hải Phòng,2023-10-20,2023-10-03,Nhân viên chính thức,8 Tr - 10 Tr VND,Nhân viên,8.0,10.0,VND,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDC5E9
https://careerbuilder.vn/vi/tim-viec-lam/jhn0031711-logistic-sales.35BDC767.html,[jhn0031711] logistic sales,"ICONIC CO.,LTD",Hà Nội,2023-10-31,2023-10-03,Nhân viên chính thức,15 Tr - 30 Tr VND,Nhân viên,15.0,30.0,VND,2.0,10.0,năm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDC767
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-quoc-te-tieng-trung.35BDC4AA.html,nhân viên kinh doanh quốc tế tiếng trung,CÔNG TY CỔ PHẦN NHỰA CHÂU ÂU,Hà Nội,2023-10-29,2023-10-03,Nhân viên chính thức,12 Tr - 19 Tr VND,Nhân viên,12.0,19.0,VND,1.0,,năm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDC4AA
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-xuat-nhap-khau.35BDC526.html,nhân viên xuất nhập khẩu,CÔNG TY TNHH RAPID AID VIỆT NAM,Hải Phòng,,2023-10-03,Nhân viên chính thức,8 Tr - 11 Tr VND,Nhân viên,8.0,11.0,VND,1.0,2.0,năm,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDC526
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-thau.35BDD3DC.html,nhân viên thầu,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ VCAPITAL,Hà Nội,2023-10-19,2023-10-03,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,3.0,,năm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDD3DC
https://careerbuilder.vn/vi/tim-viec-lam/sales-excutive.35BDD366.html,sales excutive,CÔNG TY TNHH SHIP LINK VIỆT NAM,Hồ Chí Minh,2023-10-31,2023-10-03,Nhân viên chính thức,15 Tr - 25 Tr VND,Nhân viên,15.0,25.0,VND,1.0,2.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDD366
https://careerbuilder.vn/vi/tim-viec-lam/sale-logistics-thu-nhap-tu-15tr-25tr-thang.35BDD4F0.html,sale logistics ( thu nhập từ  15tr-25tr/tháng),CÔNG TY TNHH SHIP LINK VIỆT NAM,Hồ Chí Minh,2023-10-31,2023-10-03,Nhân viên chính thức,15 Tr - 25 Tr VND,Nhân viên,15.0,25.0,VND,1.0,2.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDD4F0
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-giao-nhan.35BDD4F7.html,nhân viên giao nhận,CÔNG TY CỔ PHẦN ĐẦU TƯ & THƯƠNG MẠI QUỐC TẾ TÂM VIỆT,Hà Nội,,2023-10-03,Nhân viên chính thức,15 Tr - 20 Tr VND,Nhân viên,15.0,20.0,VND,1.0,,năm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDD4F7
https://careerbuilder.vn/vi/tim-viec-lam/pho-phong-logistics-phu-trach-thu-tuc-hai-quan.35BDD4D7.html,phó phòng logistics (phụ trách thủ tục hải quan),CÔNG TY CỔ PHẦN TRANSIMEX,Hồ Chí Minh,2023-10-18,2023-10-03,Nhân viên chính thức,Cạnh tranh,Quản lý,,,,5.0,10.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDD4D7
https://careerbuilder.vn/vi/tim-viec-lam/customer-service-staff-qa-department.35BDD4AB.html,customer service staff (qa department),Panasonic Vietnam Group,Hưng Yên,2023-10-25,2023-10-03,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,2.0,năm,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDD4AB
https://careerbuilder.vn/vi/tim-viec-lam/nodejs-developer.35BDD427.html,nodejs developer,Công ty Cổ phần Minh Housewares,Hà Nội,2023-09-18,2023-10-03,Nhân viên chính thức,15 Tr - 25 Tr VND,Nhân viên,15.0,25.0,VND,1.0,3.0,năm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDD427
https://careerbuilder.vn/vi/tim-viec-lam/purchasing-assistant-manager-delivery.35BDD4A3.html,purchasing assistant manager (delivery),Panasonic Vietnam Group,Hưng Yên,2023-10-24,2023-10-03,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,2.0,3.0,năm,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDD4A3
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-xuat-nhap-khau-tieng-trung.35BDD293.html,nhân viên xuất nhập khẩu (tiếng trung),CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TPC,"Bắc Ninh, Hà Nội",2023-10-18,2023-10-03,Nhân viên chính thức,Trên14 Tr VND,Nhân viên,14.0,,VND,1.0,,năm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDD293
https://careerbuilder.vn/vi/tim-viec-lam/truong-nhom-mua-hang.35BDE068.html,trưởng nhóm mua hàng,Công ty TNHH Thiên Thủy Mộc,Hà Nội,2023-10-30,2023-10-03,Nhân viên chính thức,15 Tr - 20 Tr VND,Trưởng nhóm / Giám sát,15.0,20.0,VND,3.0,5.0,năm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDE068
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-sales-logistic.35BDE0CB.html,nhân viên sales logistic,CÔNG TY TNHH KINGFISHER LOGISTICS,Hồ Chí Minh,2023-10-26,2023-10-03,Nhân viên chính thức,12 Tr - 18 Tr VND,Nhân viên,12.0,18.0,VND,1.0,,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDE0CB
https://careerbuilder.vn/vi/tim-viec-lam/hcm-sourcing-leader-mang-food-trading.35BDE10F.html,[hcm] sourcing leader - mảng food trading,CÔNG TY CP TẬP ĐOÀN VIỆT HỒNG,Hồ Chí Minh,2023-10-31,2023-10-03,Nhân viên chính thức,Cạnh tranh,Quản lý,,,,4.0,,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDE10F
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-sales-logistics-chi-nhanh-ho-chi-minh.35BDDF90.html,nhân viên sales logistics chi nhánh hồ chí minh,Công ty Cổ phần Tiếp vận HP,Hồ Chí Minh,2023-10-23,2023-10-03,Nhân viên chính thức,10 Tr - 30 Tr VND,Nhân viên,10.0,30.0,VND,1.0,2.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDDF90
