job_link,job_title,comp_name,location,expire_date,update_date,staff_type,salary,job_level,sal_min,sal_max,currency,exp_min,exp_max,exp_measurement,location_Hồ Chí Minh,location_Hà Nội,location_Vĩnh Phúc,location_Bình Dương,location_Bình Thuận,location_New Jersey,location_Tây Ninh,location_Bà Rịa - Vũng Tàu,location_Đồng Nai,location_Hải Phòng,location_Bến Tre,location_Quảng Bình,location_Cà Mau,location_Hưng Yên,location_Hà Nam,location_Bắc Ninh,location_Đà Nẵng,location_Bình Phước,location_Quảng Nam,location_Thái Bình,location_Hải Dương,location_Bắc Giang,location_Long An,location_An Giang,location_Quảng Ninh,location_Lâm Đồng,location_Đồng Tháp,location_Nghệ An,location_Thừa Thiên- Huế,location_Quảng Trị,location_Cần Thơ,location_Phú Thọ,location_Bình Định,location_Thanh Hóa,location_KV Bắc Trung Bộ,location_Yên Bái,industry_Xuất nhập khẩu,industry_Bán hàng / Kinh doanh,industry_Vận chuyển / Giao nhận /Kho vận,industry_Quảng cáo / Đối ngoại / Truyền Thông,industry_Dệt may / Da giày / Thời trang,industry_Hành chính / Thư ký,industry_Biên phiên dịch,industry_Quản lý điều hành,industry_Môi trường,industry_Thu mua / Vật tư,industry_Tiếp thị / Marketing,industry_Sản xuất / Vận hành sản xuất,industry_Thực phẩm & Đồ uống,industry_Công nghệ thực phẩm / Dinh dưỡng,industry_Dịch vụ khách hàng,industry_Hàng hải,industry_Nội ngoại thất,industry_Kế toán / Kiểm toán,industry_Bán lẻ / Bán sỉ,industry_Luật / Pháp lý,industry_Bất động sản,industry_Tài chính / Đầu tư,industry_Tư vấn,industry_Nông nghiệp,industry_Cơ khí / Ô tô / Tự động hóa,industry_Đồ gỗ,industry_Giáo dục / Đào tạo,industry_Ngành khác,industry_Nhân sự,industry_Khoáng sản,industry_Y tế / Chăm sóc sức khỏe,industry_Mới tốt nghiệp / Thực tập,industry_Tiếp thị trực tuyến,industry_Xây dựng,industry_Dược phẩm,industry_Điện / Điện tử / Điện lạnh,industry_In ấn / Xuất bản,industry_Công nghệ sinh học,industry_Thủy sản / Hải sản,industry_An toàn lao động,industry_Hóa học,industry_CNTT - Phần mềm,industry_Chăn nuôi / Thú y,industry_Quản lý chất lượng (QA/QC),industry_Hàng gia dụng / Chăm sóc cá nhân,industry_Thống kê,industry_Bưu chính viễn thông,industry_Dầu khí,job_id
https://careerbuilder.vn/vi/tim-viec-lam/purchasing-manager-chemical-products.35BE1671.html,purchasing manager (chemical products),Tập đoàn Stavian (Stavian Group),Hồ Chí Minh,2023-11-30,2023-10-24,Nhân viên chính thức,Cạnh tranh,Trưởng nhóm / Giám sát,,,,2.0,,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35BE1671
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-quoc-te-sales-overseas.35BDA90D.html,chuyên viên kinh doanh quốc tế (sales overseas),CÔNG TY TNHH THƯƠNG MẠI KATA VIỆT NAM,Hà Nội,2023-11-22,2023-10-24,Nhân viên chính thức,10 Tr - 30 Tr VND,Nhân viên,10.0,30.0,VND,1.0,3.0,năm,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDA90D
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-quoc-te-tieng-trung.35BDA8E5.html,chuyên viên kinh doanh quốc tế (tiếng trung),Công ty Cổ phần Đầu tư Nhật Huy (Nhat Huy Group),Hà Nội,2023-11-22,2023-10-24,Nhân viên chính thức,10 Tr - 16 Tr VND,Nhân viên,10.0,16.0,VND,1.0,5.0,năm,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDA8E5
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-mua-hang-quoc-te.35BDA78C.html,chuyên viên mua hàng quốc tế,Công ty TNHH Thiên Thủy Mộc,Hà Nội,2023-11-22,2023-10-24,Nhân viên chính thức,12 Tr - 17 Tr VND,Nhân viên,12.0,17.0,VND,3.0,5.0,năm,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDA78C
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-xuat-nhap-khau-luan-phien-ca-dem-ngay-tai-dau-giay-dong-nai.35BDA852.html,"nhân viên xuất nhập khẩu  (luân phiên ca đêm/ngày tại dầu giây, đồng nai)",Techtronic Industries Vietnam (TTI),Đồng Nai,2023-11-22,2023-10-24,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,3.0,,năm,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDA852
https://careerbuilder.vn/vi/tim-viec-lam/sales-cum-customer-service.35BDA752.html,sales cum customer service,CÔNG TY TNHH MAXPEED VIỆT NAM,"Hà Nội, Hải Phòng",2023-11-22,2023-10-24,Nhân viên chính thức,10 Tr - 15 Tr VND,Nhân viên,10.0,15.0,VND,1.0,,năm,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDA752
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-noi-bo.35BE14E9.html,kế toán nội bộ,Công ty TNHH MTV Tín Nha,Hồ Chí Minh,2023-11-23,2023-10-24,Nhân viên chính thức,8 Tr - 10 Tr VND,Nhân viên,8.0,10.0,VND,1.0,,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE14E9
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-quoc-te-biet-tieng-anh-thu-nhap-tu-9-30-trieu.35BDFB05.html,nhân viên kinh doanh quốc tế biết tiếng anh (thu nhập từ 9-30 triệu),CÔNG TY TNHH MTV XUẤT NHẬP KHẨU THỦY SẢN NGHI SƠN,"Hồ Chí Minh, Bình Thuận",2023-11-30,2023-10-24,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35BDFB05
https://careerbuilder.vn/vi/tim-viec-lam/quan-ly-don-hang-cao-cap-chuyen-vien-kinh-doanh-xuat-khau-furniture.35BE0A9D.html,quản lý đơn hàng cao cấp/chuyên viên kinh doanh xuất khẩu (furniture),Công Ty TNHH SX - TM - DV Lê Trần,Hồ Chí Minh,2023-11-30,2023-10-24,Nhân viên chính thức,18 Tr - 35 Tr VND,Trưởng nhóm / Giám sát,18.0,35.0,VND,2.0,5.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE0A9D
https://careerbuilder.vn/vi/tim-viec-lam/sales-logistics-tieng-trung-cn-hcm.35BDA633.html,sales logistics tiếng trung (cn hcm),WINWIN GROUP,Hồ Chí Minh,2023-11-21,2023-10-23,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDA633
https://careerbuilder.vn/vi/tim-viec-lam/sales-engineering-fabric-garment.35BDA5C7.html,sales engineering fabric & garment,Công ty TNHH Tessellation Việt Nam,Bình Dương,2023-11-21,2023-10-23,Nhân viên chính thức,18 Tr - 25 Tr VND,Trưởng nhóm / Giám sát,18.0,25.0,VND,3.0,5.0,năm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDA5C7
https://careerbuilder.vn/vi/tim-viec-lam/sales-logistics-overseas-wca-development.35BDDBB4.html,sales logistics overseas (wca development),WINWIN GROUP,Hồ Chí Minh,2023-11-21,2023-10-23,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,,,nghiệm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDDBB4
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kiem-soat-chat-luong-noi-bo.35BDDB62.html,chuyên viên kiểm soát chất lượng nội bộ,Tổng Công ty Đối Tác Chân Thật,Hồ Chí Minh,2023-11-21,2023-10-23,Nhân viên chính thức,10 Tr - 15 Tr VND,Nhân viên,10.0,15.0,VND,2.0,,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDDB62
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-sale-logistics.35BDDA91.html,nhân viên kinh doanh - sale logistics,CÔNG TY TNHH GIAO NHẬN GREEN ONE,Hà Nội,2023-11-21,2023-10-23,Nhân viên chính thức,8 Tr - 30 Tr VND,Nhân viên,8.0,30.0,VND,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDDA91
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-forwarding.35BDDB24.html,chuyên viên kinh doanh forwarding,Tổng Công ty Đối Tác Chân Thật,Hồ Chí Minh,2023-11-21,2023-10-23,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,3.0,5.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDDB24
https://careerbuilder.vn/vi/tim-viec-lam/hn-cong-ty-logistics-digiport-tuyen-dung-nhan-vien-sales-logistics-full-time-2023.35BDDC27.html,[hn] công ty logistics digiport tuyển dụng nhân viên sales logistics full-time 2023,Công ty TNHH DPT Vina Holdings,Hà Nội,2023-11-21,2023-10-23,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,,đến1năm,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDDC27
https://careerbuilder.vn/vi/tim-viec-lam/hn-cong-ty-logistics-digiport-tuyen-dung-nhan-vien-cham-soc-khach-hang-xuat-nhap-khau-full-time-2023.35BDDC28.html,[hn] công ty logistics digiport tuyển dụng nhân viên chăm sóc khách hàng xuất nhập khẩu full-time 2023,Công ty TNHH DPT Vina Holdings,Hà Nội,2023-11-21,2023-10-23,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,6.0,,đến6năm,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDDC28
https://careerbuilder.vn/vi/tim-viec-lam/sales-logistic-taiwan-or-china.35BDD9D6.html,sales logistic (taiwan or china),"Times Cargo Logistic Co,. LTD",Hải Phòng,2023-11-21,2023-10-23,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,2.0,,năm,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDD9D6
https://careerbuilder.vn/vi/tim-viec-lam/tro-ly-kinh-doanh-logistics-tieng-trung-sales-assistant-chinese-speaking.35BDF85D.html,trợ lý kinh doanh logistics tiếng trung | sales assistant (chinese speaking),CN CÔNG TY TNHH SITC LGISTICS VIỆT NAM TẠI TPHCM,Hồ Chí Minh,2023-11-08,2023-10-23,Nhân viên chính thức,9 Tr - 15 Tr VND,Nhân viên,9.0,15.0,VND,2.0,3.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDF85D
