job_link,job_title,comp_name,location,expire_date,update_date,staff_type,salary,job_level,sal_min,sal_max,currency,exp_min,exp_max,exp_measurement,location_Bình Dương,location_Hồ Chí Minh,location_Hà Nội,location_Bà Rịa - Vũng Tàu,location_Đồng Nai,location_Hải Phòng,location_Vĩnh Long,location_Tây Ninh,location_Hưng Yên,location_Hậu Giang,location_Phú Yên,location_Ninh Thuận,location_Quảng Ngãi,location_Bắc Ninh,location_Hải Dương,location_Thừa Thiên- Huế,location_Long An,location_Nghệ An,location_Bắc Giang,location_Bến Tre,location_Đà Nẵng,location_Lâm Đồng,location_Hà Nam,location_Quảng Bình,location_Bình Thuận,location_Lào Cai,location_Vĩnh Phúc,location_Bình Phước,location_Đồng Tháp,location_Bình Định,location_Thanh Hóa,location_Tiền Giang,location_Quảng Ninh,location_Cần Thơ,location_Gia Lai,location_An Giang,location_Khánh Hòa,location_Yên Bái,location_Khác,location_Quảng Nam,location_Cao Bằng,location_Phú Thọ,industry_Dịch vụ khách hàng,industry_Vận chuyển / Giao nhận /Kho vận,industry_Kế toán / Kiểm toán,industry_Dược phẩm,industry_Y tế / Chăm sóc sức khỏe,industry_Bán hàng / Kinh doanh,industry_Bán lẻ / Bán sỉ,industry_Quản lý điều hành,industry_Xuất nhập khẩu,industry_Dệt may / Da giày / Thời trang,industry_In ấn / Xuất bản,industry_Sản xuất / Vận hành sản xuất,industry_Thực phẩm & Đồ uống,industry_Hóa học,industry_Lao động phổ thông,industry_Tài chính / Đầu tư,industry_Công nghệ thực phẩm / Dinh dưỡng,industry_Thu mua / Vật tư,industry_Bưu chính viễn thông,industry_Mới tốt nghiệp / Thực tập,industry_Bảo hiểm,industry_Cơ khí / Ô tô / Tự động hóa,industry_Thủy lợi,industry_Xây dựng,industry_Ngành khác,industry_Biên phiên dịch,industry_Hành chính / Thư ký,industry_Hàng hải,industry_Bảo trì / Sửa chữa,industry_Điện / Điện tử / Điện lạnh,industry_Tư vấn,industry_Nội ngoại thất,industry_Thống kê,industry_Nhân sự,industry_An Ninh / Bảo Vệ,industry_Tiếp thị / Marketing,industry_Ngân hàng,industry_Đồ gỗ,industry_Quản lý chất lượng (QA/QC),industry_Bất động sản,industry_Mỹ thuật / Nghệ thuật / Thiết kế,industry_Quảng cáo / Đối ngoại / Truyền Thông,industry_Nhà hàng / Khách sạn,industry_Du lịch,industry_Công nghệ sinh học,industry_Luật / Pháp lý,industry_CNTT - Phần mềm,industry_CNTT - Phần cứng / Mạng,industry_Tiếp thị trực tuyến,industry_Hàng không,industry_An toàn lao động,industry_Nông nghiệp,industry_Dầu khí,industry_Giáo dục / Đào tạo,industry_Hàng gia dụng / Chăm sóc cá nhân,job_id
https://careerbuilder.vn/vi/tim-viec-lam/shipping-and-receiving-leader-nhon-trach.35BDF0C8.html,shipping and receiving leader (nhơn trạch),Summit Polymers Vietnam Co Ltd.,Đồng Nai,2023-12-03,2023-11-04,Nhân viên chính thức,Cạnh tranh,Trưởng nhóm / Giám sát,,,,2.0,3.0,năm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDF0C8
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kho.35BDF053.html,nhân viên kho,Saint-Gobain Vietnam,Hải Phòng,2023-12-03,2023-11-04,Nhân viên chính thức,400 - 600 USD,Nhân viên,400.0,600.0,USD,1.0,2.0,năm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDF053
https://careerbuilder.vn/vi/tim-viec-lam/logistics-project-staff-binh-duong.35BEE637.html,logistics project staff - bình dương,Công ty TNHH YCH - Protrade,Bình Dương,2023-12-10,2023-11-03,Nhân viên chính thức,10 Tr - 15 Tr VND,Nhân viên,10.0,15.0,VND,1.0,3.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEE637
https://careerbuilder.vn/vi/tim-viec-lam/quan-ly-kho.35BEE591.html,quản lý kho,Công ty Cổ Phần Chuỗi Nhà Hàng SVN,Hà Nội,2023-11-30,2023-11-03,Nhân viên chính thức,22 Tr - 25 Tr VND,Quản lý,22.0,25.0,VND,2.0,5.0,năm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEE591
https://careerbuilder.vn/vi/tim-viec-lam/logistics-planner-nhan-vien-hau-can-lam-viec-tai-binh-duong.35BEE481.html,"logistics planner (nhân viên hậu cần, làm việc tại bình dương)",Jotun Paints Vietnam Company Limited,Bình Dương,2023-11-30,2023-11-03,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,2.0,3.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEE481
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-lai-xe-nang.35BDFB0B.html,nhân viên lái xe nâng,Công Ty TNHH CJ Vina Agri,Vĩnh Long,2023-11-30,2023-11-03,Nhân viên chính thức,8 Tr - 15 Tr VND,Nhân viên,8.0,15.0,VND,1.0,10.0,năm,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDFB0B
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-vien.35BDEA55.html,kế toán viên,CÔNG TY TNHH CHĂN GA GỐI ĐỆM ELAN,Hải Phòng,2023-12-01,2023-11-02,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,2.0,,năm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDEA55
https://careerbuilder.vn/vi/tim-viec-lam/national-transportation-manager.35BEE002.html,national transportation manager,Toll Group I Logistic and Forwarding,Hồ Chí Minh,2023-12-01,2023-11-01,Nhân viên chính thức,Cạnh tranh,Quản lý,,,,5.0,,năm,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEE002
https://careerbuilder.vn/vi/tim-viec-lam/chief-accountant.35BE086D.html,chief accountant,YUNEXPRESS LOGISTICS VIETNAM,Hồ Chí Minh,2023-11-30,2023-10-31,Nhân viên chính thức,Cạnh tranh,Quản lý,,,,1.0,5.0,năm,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE086D
https://careerbuilder.vn/vi/tim-viec-lam/truong-buu-cuc-khach-hang-lon-tai-tay-ninh.35BDE275.html,trưởng bưu cục khách hàng lớn tại tây ninh,Tổng Công Ty Chuyển Phát Nhanh Bưu Điện,Tây Ninh,2023-11-26,2023-10-28,Nhân viên chính thức,Cạnh tranh,Quản lý,,,,2.0,3.0,năm,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDE275
